Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Added by Gemini,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash-Full,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ
car_parts_with_missing_values,Sales,>1 (Multivariate),51,Monthly,Zenodo,Zenodo Record,"Contains 2,674 monthly time series related to car parts sales. This version contains the original missing values.",Contains missing values.,69,3,22,Auto-reconciled (1 unique source) on 2025-08-04 15:34:17,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
car_parts_without_missing_values,Sales,>1 (Multivariate),51,Monthly,Zenodo,Zenodo Record,"Contains 2,674 monthly time series of car parts sales. Missing values have been imputed.",Missing values imputed. Part of the common TSF-32 subset (as 'car_parts').,70,3,22,Auto-reconciled (1 unique source) on 2025-08-04 15:34:17,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
CARDERS,Corporate,1,82,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),A monthly corporate time series from the M2 Forecasting Competition. This series was provided by one of four collaborating companies and was anonymized.,"Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",71,2,22,Auto-reconciled (1 unique source) on 2025-08-04 15:34:18,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
CARINDS,Corporate,1,82,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),A monthly corporate time series from the M2 Forecasting Competition. This series was provided by one of four collaborating companies and was anonymized.,"Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",72,2,22,Auto-reconciled (1 unique source) on 2025-08-04 15:34:19,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
CBF,Simulated,1,128,Not specified,"timeseriesclassification.com, cs.ucr.edu",CBF Description,"A synthetic dataset involving three classes: Cylindrical, Bell, and Funnel. The data is generated from specific mathematical functions with added noise, designed to test a classifier's ability to distinguish fundamental shapes.",Donated by N. Saito. A 3-class problem with 30 training and 900 testing instances. It is often used to demonstrate the superiority of Dynamic Time Warping (DTW) over Euclidean distance.,73,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:34:19,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
cdc_fluview_who_nrevss,Public Health,"Multivariate (ILI visits, positive flu tests).",Multiple flu seasons reported weekly.58,Weekly 58,CDC,https://www.cdc.gov/fluview/overview/fluview-interactive.html,"Comprehensive influenza surveillance data from the CDC, combining virologic surveillance (WHO/NREVSS) with outpatient influenza-like illness (ILI) reports.58",A canonical dataset for epidemiological forecasting. Features strong yearly seasonality but with significant variability in the timing and magnitude of the peak season each year.,74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
CharacterTrajectories,Motion,3,182,Uniform,timeseriesclassification.com,Link,"This dataset contains trajectories of 20 characters written on a Wacom tablet. The 3 variables are the x-coordinate, y-coordinate, and pen tip force. The task is to identify the written character.","A handwriting recognition task where the dynamics of pen movement (velocity, pressure) are as important as the path. The third variable (pen tip force) adds a unique dimension not present in simple 2D coordinate data.",75,5,22,Auto-reconciled (1 unique source) on 2025-08-04 15:34:20,,,,,,,Y,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
CHBike,Traffic/Bike-Sharing Mobility,250,4368,30 minutes,Citi Bike NYC,Citi Bike System Data,"Consists of approximately 2.6 million Citi bike orders. After filtering, the dataset focuses on the 250 most frequented stations, which serve as the time series variables. Reflects usage during the same period as NYCTaxi (April 1st to June 30th, 2016).","Data divided into training, validation, and test sets using a 6:2:2 ratio. Historical timesteps (P) and future timesteps (S) were set to 12 each. Data processed to remove staff trips, test station trips, and trips under 60 seconds. For months with over 1 million trips, data is split into multiple CSV files. Raw variables include Ride ID, Rideable type, Started at/Ended at (time/date), Start/End station name/ID, Start/End latitude/longitude, Member or casual ride. Previously included Trip Duration, Station ID, Lat/Long, Bike ID, Gender, Year of Birth.",76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEETAH,Corporate,1,82,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),A monthly corporate time series from the M2 Forecasting Competition. This series was provided by one of four collaborating companies and was anonymized.,"Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",77,2,22,Auto-reconciled (1 unique source) on 2025-08-04 15:34:20,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
china_air_quality / beijing_air_quality,Environmental,"Multivariate (6 pollutants, e.g., PM2.5, NO2, + weather).",Mar 2013 - Feb 2017 50,Hourly 50,UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/501/beijing+multi-site+air-quality+data,Hourly concentrations of major air pollutants and meteorological variables from multiple monitoring sites in Chinese cities like Beijing.50,"Excellent source for training on multivariate series with strong physical and chemical interdependencies, a key challenge for advanced forecasting models.",78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
Chinatown,Traffic,1,24,Not specified,"timeseriesclassification.com, cs.ucr.edu",Chinatown Description,This Traffic dataset contains 1-dimensional time series representing pedestrian counts. The classification task is to categorize instances into one of 2 classes.,Donated by H.A. Dau. It includes 20 instances for training and 343 for testing.,79,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:34:21,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
ChlorineConcentration,Sensor,1,166,Not specified,"timeseriesclassification.com, cs.ucr.edu",ChlorineConcentration Description,This dataset contains readings of chlorine concentration in a water supply system. The task is to classify the operational state of the system into one of 3 classes.,Donated by L. Li & C. Faloutsos. A 3-class problem with 467 training and 3840 testing instances.,80,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:34:22,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Chronos Training Corpus (TSMixup & KernelSynth),Time Series (Forecasting - Synthetic/Augmented),N/A,"Millions of series (10M TSMixup, 1M KernelSynth)",N/A (dummy timestamps),Hugging Face (internal to AutoGluon's pretraining),"(via configs training_corpus_tsmixup_10m, training_corpus_kernel_synth_1m)",Synthetic and augmented real-world time series data used for pretraining Chronos models. These datasets are designed to improve generalization and cover a wide range of temporal behaviors. Timestamps are dummy values and do not reflect original data timestamps.,"These are not typical ""user-input"" datasets but represent the vast internal data used to build AutoGluon's advanced time series foundation models.",81,1,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cif_2016,Banking,1 (univariate),"72 series; Min. Length 34, Max. Length 120",Monthly,CIF 2016 forecasting competition (OpenML) / Zenodo (for the Monash Time Series Forecasting Archive version),https://zenodo.org/record/3904073 (original competition data on Zenodo) / https://forecastingdata.org/ (Monash Time Series Forecasting Archive),"A set of 72 monthly univariate time series from the banking domain, used in the 2016 Computational Intelligence in Forecasting competition. It includes 24 real-world time series and 48 artificially generated series, designed to test model generalization capabilities. Forecast horizons of 6 and 12 months were used in the original competition.","The dataset name sometimes appears as ""CIF 2016"". Some sources might provide average time series lengths or focus on the Monash repository's version. Discrepancies in the 'Number of Variables' field arise from confusing the number of time series (72) with the number of variables at each time point (1, since it is univariate). Sources like 'ChronosX-Eval2' may misclassify the dataset as multivariate.",82,10,22,Reconciled on 2025-08-04 15:34:42,,,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,X,X,,,,,,,Y,,,,,,,X,,,,,X,,,,,,,,,
cif_2016_monthly,Banking,1 (Univariate),34 - 120,Monthly,Zenodo,Zenodo Record,Contains 72 monthly time series from the 2016 Computational Intelligence in Forecasting (CIF) competition. The data relates to banking.,Competition Dataset: CIF 2016. Part of the common TSF-32 subset.,83,3,22,Auto-reconciled (1 unique source) on 2025-08-04 15:35:29,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
CinCECGTorso,Sensor,1,1639,Not specified,"timeseriesclassification.com, cs.ucr.edu",CinCECGTorso Description,This dataset contains ECG signals recorded from the torso. The classification task is to distinguish between 4 different cardiac conditions.,Sourced from physionet.org. A 4-class problem with 40 training and 1380 testing instances.,84,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:35:30,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
CMIP6 (Coupled Model Intercomparison Project Phase 6),Climate,"Varies (dozens of models, hundreds of variables)",Varies (daily/monthly from ~1850-2100),Daily/Monthly,Earth System Grid Federation (ESGF),https://esgf-node.llnl.gov/search/cmip6/,"CMIP6 is a multi-model ensemble of climate simulations covering past, present, and future periods under various Shared Socioeconomic Pathways (SSPs). It is coordinated by the World Climate Research Programme (WCRP) and provides data for the Intergovernmental Panel on Climate Change (IPCC) assessment reports.  It includes historical simulations (from ~1850) and future projections (to 2100), with data available at daily and monthly intervals.  The project encompasses numerous experiments, including those focused on specific climate processes and phenomena. Output data adheres to CF Metadata conventions and is stored in NetCDF files, typically one variable per file.","CMIP6 represents a significant advancement in climate modeling, incorporating higher spatial resolution, more complex processes, and a wider range of scenarios compared to previous phases.  Different models within CMIP6 have varying spatial resolutions, and data can be accessed on native model grids or regridded to standard grids.  The project plays a crucial role in understanding climate change, assessing model uncertainty, and informing climate policy.",85,4,22,Reconciled on 2025-08-04 15:35:45,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,X,,Y,,,,
cmip6_1850,Climate,Multiple,2370000000,Daily,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,"Climate model output data from the Coupled Model Intercomparison Project Phase 6 (CMIP6), starting from the year 1850.","A massive source of climate simulation data, providing long-term, complex, and high-dimensional time series for pre-training. 3",86,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,Spectro,1,286,Not specified,"timeseriesclassification.com, cs.ucr.edu",Coffee Description,The task is to distinguish between Robusta and Arabica coffee beans using spectroscopy. The two classes are binary. The data was collected from a single green bean of each type.,Donated by K. Kemsley & A. Bagnall. A simple binary classification problem with 28 training and 28 testing instances.,87,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:36:19,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
COMPIND,Macroeconomic,1,167,Quarterly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),"A quarterly macroeconomic time series from the M2 Forecasting Competition, representing an economic indicator from the USA or France.","Part of a set of 29 series used in a real-time, two-round competition structure. The full historical data is in the M2CALL subset.",88,2,22,Auto-reconciled (1 unique source) on 2025-08-04 15:36:20,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
Computer Vision Data (Images),Computer Vision,N/A (Pixels/Channels),N/A,N/A,"User's Cloud Storage (AWS S3, GCP, Azure Blob Storage), Dataloop Internal Storage",Dataloop Supported Formats,"Supports JPG, JPEG, PNG, TIFF. Used for image classification, object detection, semantic segmentation. Dataloop offers dedicated Image Annotation Studio.","Recommended max 15 MB size, 24.0 MP resolution.9 Optimized for annotation workflows.",89,1,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Vision Data (LiDAR),Computer Vision,N/A (Points/Attributes),N/A,N/A,"User's Cloud Storage (AWS S3, GCP, Azure Blob Storage), Dataloop Internal Storage",Dataloop Supported Formats,"Supports PCD (ASCII format). Used for 3D object detection, scene understanding. Dataloop offers LiDAR annotation tools.",PCD files have a size limit of 70 MB.9 Larger datasets may require segmentation.,90,1,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Vision Data (Video),Computer Vision,N/A (Frames/Channels),Variable,Variable,"User's Cloud Storage (AWS S3, GCP, Azure Blob Storage), Dataloop Internal Storage",Dataloop Supported Formats,"Supports WEBM, MP4, MOV. Used for video object tracking, activity recognition. Dataloop offers dedicated Video Annotation Studio.",WEBM is the default format for video annotation.9,91,1,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computers,Device,1,720,Not specified,"timeseriesclassification.com, cs.ucr.edu",Computers Description,This Device dataset contains power consumption data. The classification task is to distinguish between two states or types of computer usage.,Donated by J. Lines & A. Bagnall. A binary classification problem with 250 training and 250 testing instances.,92,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:36:20,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
CornellWhaleChallenge,Audio,1,4000,500mus (1/2 kHz),Kaggle: MLSP 2013 Signal Processing Cup,monster-monash/CornellWhaleChallenge,This dataset originates from a Kaggle competition and contains hydrophone (underwater microphone) recordings collected from buoys deployed in the ocean near Boston. The data was sampled at 2 kHz. The task is a binary classification problem: distinguish between audio clips containing the calls of North Atlantic right whales and clips containing only other ocean noises.5,"This is a classic signal detection problem in a noisy environment. The key challenge lies in identifying the specific, often faint, whale call signature amidst a wide variety of background sounds (e.g., other marine life, ship noise, weather). The dataset is balanced between the two classes.",93,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COVID-19 Hospital Data (California, ARCHIVED)",Public Health/Epidemiology,"9 features (county, todays_date, hospitalized_covid_confirmed_patients, hospitalized_suspected_covid_patients, hospitalized_covid_patients, all_hospital_beds, icu_covid_confirmed_patients, icu_suspected_covid_patients, icu_available_beds)","Daily data from 2020-present (archived as of March 3, 2025)",Daily,California Department of Public Health (CDPH),California COVID-19 Hospital Data,"Daily hospitalization data for COVID-19 patients in California, broken down by county. Includes counts for confirmed and suspected cases, patients in ICU, and the total number of available hospital and ICU beds.","This dataset is ARCHIVED and no longer updated because hospitals are not mandated to report COVID hospitalizations to CDPH. Hospitalization counts include all patients diagnosed with COVID-19 during their stay, regardless of whether COVID-19 was the primary reason for hospitalization or if symptoms were experienced. Cumulative totals for hospitalizations are not available, as hospitals reported total patients each day, not new admissions.",94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covid3Month,Forecasting,1,84,Daily,World Health Organization (WHO),Link,"This dataset frames a forecasting problem as a TSER task. The goal is to predict a country's COVID-19 death rate on a specific date (April 1, 2020) using the previous three months (84 days) of daily confirmed case counts as a univariate time series input.25","This is a univariate problem with a relatively short but highly non-stationary and chaotic time series, reflecting the early, unpredictable stages of the COVID-19 pandemic. The model must learn the complex, lagged relationship between infection counts and subsequent mortality, which varied significantly by country. The data is sourced from the WHO, a definitive authority.26",95,1,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
covid_deaths,Health,266 (Multivariate),212,Daily (1D),Johns Hopkins University (via Zenodo),https://zenodo.org/record/4656009,"Contains 266 daily multivariate time series of COVID-19 deaths for various regions, sourced from Johns Hopkins University CSSE dashboard data from 2020.","Monash Moment' has a discrepancy stating 266 variables at each time point, which contradicts other sources and the multivariate nature.",96,4,22,Split into 2 records on 2025-08-04 15:36:38,"Multiple Datasets

The sources provided refer to two distinct datasets that share the name 'covid_deaths' or a close variant:

1. **Dataset A (Johns Hopkins University COVID-19 Deaths):** This dataset contains daily time series data of COVID-19 deaths, sourced from Johns Hopkins University. Key features include 266 multivariate time series and 212 time points (daily intervals).  Sources 'Monash-Common', 'Monash-small', 'Monash Moment', and 'TTM-PreT' describe this dataset, although there's a discrepancy in 'Monash Moment' regarding the number of variables.

2. **Dataset B (WHO COVID-19 Deaths):** This dataset focuses on daily COVID-19 death counts from January to August 2020, primarily sourced from the World Health Organization (WHO).  It's characterized by 212 time points (daily intervals) and a univariate structure. Sources 'Chronos-Eval2', 'ChronosBolt-Eval2', and 'ChronosX-Eval2' point to this dataset. There's some confusion in 'ChronosX-Eval2' regarding the number of time series (266, likely confusing it with the JHU dataset).  Source 'AutoGluon' seems to conflate elements of both datasets, referencing the Monash repository but with characteristics closer to the WHO dataset.",,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Covid Deaths,Healthcare / Public Health/Epidemiology,1 (Univariate),212,1 Day (1D),WHO (World Health Organization),https://data.who.int/dashboards/covid19/deaths,"Daily count data of COVID-19 deaths in a set of countries and states, between January and August 2020. This dataset captures critical early-pandemic mortality trends.","ChronosX-Eval2' incorrectly lists 266 time series, likely a confusion with the Johns Hopkins dataset. 'AutoGluon' seems to conflate data from both this dataset and Dataset A.",96,5,22,Split into 2 records on 2025-08-04 15:36:38,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
covid_deaths_daily,Health,>1 (Multivariate),212,Daily,Zenodo,Zenodo Record,"Contains 266 daily time series of COVID-19 deaths for various regions, sourced from Johns Hopkins University data.",Sourced from JHU CSSE. Part of the common TSF-32 subset (as 'covid_deaths').,97,3,22,Auto-reconciled (1 unique source) on 2025-08-04 15:37:19,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
CPAPEUR,Corporate,1,94,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),"A monthly corporate time series from the M2 Forecasting Competition, likely related to European paper products. This series was provided by one of four collaborating companies and was anonymized.","Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",98,2,22,Auto-reconciled (1 unique source) on 2025-08-04 15:37:19,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
CPAPUSA,Corporate,1,225,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),"A monthly corporate time series from the M2 Forecasting Competition, likely related to US paper products. This series was provided by one of four collaborating companies and was anonymized.","Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",99,2,22,Auto-reconciled (1 unique source) on 2025-08-04 15:37:20,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
Cricket,HAR (Human Activity Recognition) in Cricket Strokes/Gestures,"6 (3-axis accelerometer, 3-axis gyroscope)",1197,Uniform,timeseriesclassification.com,https://www.timeseriesclassification.com/description.php?Dataset=Cricket,"This multivariate time series dataset captures motion data from cricket players performing 12 different strokes/gestures (e.g., cover drive, pull shot).  Data is collected from 6 sensor channels: a 3-axis accelerometer and a 3-axis gyroscope.  The task is to classify the type of cricket shot/action being performed. The dataset contains 108 training instances and 72 testing instances, totaling 180 instances where each instance represents a different cricket stroke/gesture.","This is a complex HAR problem with a high number of classes (12) and relatively long time series (1197 time points). The gestures are fast and complex, making accurate classification challenging and requiring models that can capture fine-grained temporal patterns across all six sensor dimensions.",100,7,22,Reconciled on 2025-08-04 15:37:33,,,,,,,Y,,,,,,,,Y,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
CricketX,Motion,1,300,Not specified,"timeseriesclassification.com, cs.ucr.edu",CricketX Description,This dataset contains the X-axis data from motion sensors worn by cricket players. The task is to classify the type of cricket shot into one of 12 classes.,Donated by A. Mueen & E. Keogh. It includes 390 instances for training and 390 for testing.,101,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:38:11,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
CricketY,Motion,1,300,Not specified,"timeseriesclassification.com, cs.ucr.edu",CricketY Description,This dataset contains the Y-axis data from motion sensors worn by cricket players. The task is to classify the type of cricket shot into one of 12 classes.,Donated by A. Mueen & E. Keogh. It includes 390 instances for training and 390 for testing.,102,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:38:12,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
CricketZ,Motion,1,300,Not specified,"timeseriesclassification.com, cs.ucr.edu",CricketZ Description,This dataset contains the Z-axis data from motion sensors worn by cricket players. The task is to classify the type of cricket shot into one of 12 classes.,Donated by A. Mueen & E. Keogh. It includes 390 instances for training and 390 for testing.,103,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:38:12,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Crop,Image,1,46,Not specified,"timeseriesclassification.com, cs.ucr.edu",Crop Description,This Image dataset contains 1-dimensional time series derived from satellite imagery of fields. The classification task is to identify the crop type from 24 possibilities.,Donated by F. Petitjean. A 24-class problem with 7200 training and 16800 testing instances.,104,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:38:13,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
CrowdSourced,EEG,14,256,7.8125 ms (1/128 Hz),"Williams, N. S. et al. (2023). Heliyon 8",monster-monash/CrowdSourced,This dataset contains electroencephalography (EEG) data from 60 participants investigating brain activity during a simple resting-state task (alternating between eyes open and eyes closed). The data was recorded from 14 channels at a sampling rate of 128 Hz. The task is a binary classification of the state: eyes open vs. eyes closed.5,"This is a classic EEG benchmark task. The challenge lies in detecting the well-known alpha-band oscillation suppression that occurs when eyes are open compared to when they are closed. The cross-validation folds are based on the experimental subjects, testing for inter-subject generalization.",105,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Foreign Exchange Rates (Yahoo Finance),Finance/Economics,"Multiple currency pairs (e.g., EURUSD, AUDUSD, JPYUSD, GBPUSD, NZDUSD) with Open, High, Low, Close prices",Data from Dec 2003 to Oct 2023 (or 2021 for some versions),Daily,Yahoo Finance (via Kaggle),Kaggle Daily FX Rates (Updates),"Contains daily foreign exchange rates for major currencies (USD, EUR, JPY, GBP, AUD, NZD) with open, high, low, and close prices. Multiple datasets available with different time ranges.",Kaggle Daily FX Rates (2003-2021),106,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daphnet (Full),Medical/Human Activity,"Not specified (likely 9, based on 3 triaxial accelerometers)",21760.0 (Average length per series),Not specified (likely derived from the original Daphnet 64Hz / 15.625ms interval.),"Not specified (Likely originally from the Laboratory for Gait and Neurodynamics, Tel Aviv Sourasky Medical Center in collaboration with ETH Zurich.)",Download Public Datasets,Contains the annotated readings of 3 acceleration sensors at the hip and leg of Parkinson’s disease patients that experience freezing of gait (FoG) during walking tasks.,"This seems to be a version of the original Daphnet dataset maintaining its multivariate nature, likely containing data from all 3 accelerometers. The number of variables at each time point and the precise sampling rate aren't specified but can likely be found within the linked dataset.",107,1,22,Split into 2 records on 2025-08-04 15:38:29,"Multiple Datasets. While both sources refer to a dataset called ""Daphnet"" related to Freezing of Gait in Parkinson's patients, key differences suggest they are distinct versions derived from the original Daphnet dataset. 'TSB-UAD MOMENT' explicitly states it uses a univariate representation of the original multivariate data, focusing on a single variable at each time point.  'TSB-UAD Full' implies use of the full multivariate dataset by mentioning ""3 acceleration sensors"" and linking to a different download location containing multiple datasets. Additionally, the UCI repository, referenced by 'TSB-UAD MOMENT', describes Daphnet as multivariate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
